Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2017-10-1,Chicago,70.0,56.8,43.0,43.0,39.0,32.0,90.0,55.0,25.0,14.0,6.8,0.0,29.7,29.6,29.5,0.0
2017-10-2,Chicago,82.0,68.2,59.0,50.0,45.0,40.0,63.0,44.8,26.0,16.0,8.8,5.0,29.6,29.3,19.8,0.0
2017-10-3,Chicago,81.0,71.2,66.0,67.0,58.6,45.0,84.0,65.5,43.0,14.0,9.3,6.0,29.7,29.6,29.6,0.0
2017-10-4,Chicago,75.0,69.0,59.0,68.0,62.7,55.0,94.0,81.0,68.0,14.0,6.0,0.0,29.7,29.6,29.6,0.0
2017-10-5,Chicago,73.0,65.3,61.0,61.0,55.7,45.0,96.0,73.5,38.0,9.0,3.8,0.0,29.6,29.5,29.4,0.0
2017-10-6,Chicago,72.0,66.7,64.0,70.0,64.2,62.0,100.0,92.7,78.0,9.0,3.6,0.0,29.4,29.3,29.2,0.0
2017-10-7,Chicago,82.0,69.8,63.0,63.0,58.9,55.0,94.0,69.7,42.0,23.0,11.7,6.0,29.2,29.1,28.9,0.0
2017-10-8,Chicago,79.0,62.9,54.0,55.0,52.2,41.0,94.0,72.0,26.0,20.0,6.0,0.0,29.2,29.2,29.1,0.0
2017-10-9,Chicago,81.0,61.5,48.0,64.0,53.5,46.0,100.0,80.0,34.0,9.0,3.8,0.0,29.4,29.3,29.1,0.0
2017-10-10,Chicago,66.0,64.3,62.0,63.0,60.9,59.0,94.0,88.2,78.0,25.0,11.7,6.0,29.5,29.4,29.3,0.0
2017-10-11,Chicago,62.0,59.2,57.0,61.0,56.1,53.0,96.0,89.9,82.0,21.0,12.1,6.0,29.5,29.4,29.3,0.0
2017-10-12,Chicago,61.0,58.2,55.0,56.0,53.5,52.0,88.0,84.5,77.0,10.0,5.6,0.0,29.6,29.5,29.5,0.0
2017-10-13,Chicago,75.0,63.1,54.0,57.0,55.3,54.0,100.0,78.0,47.0,12.0,3.8,0.0,29.6,29.5,29.4,0.0
2017-10-14,Chicago,69.0,65.3,62.0,66.0,61.4,54.0,100.0,87.9,59.0,26.0,4.8,0.0,29.5,29.4,29.2,0.0
2017-10-15,Chicago,68.0,59.7,49.0,68.0,53.4,39.0,100.0,80.6,54.0,25.0,12.8,3.0,29.6,29.3,29.1,0.0
2017-10-16,Chicago,63.0,50.3,43.0,43.0,39.0,32.0,93.0,69.0,32.0,14.0,6.7,0.0,29.7,29.6,29.6,0.0
2017-10-17,Chicago,72.0,56.0,46.0,39.0,37.2,34.0,77.0,52.3,25.0,18.0,6.3,0.0,29.6,29.6,29.5,0.0
2017-10-18,Chicago,72.0,59.2,52.0,44.0,38.9,34.0,62.0,48.7,25.0,13.0,7.0,0.0,29.6,29.5,29.4,0.0
2017-10-19,Chicago,66.0,56.9,46.0,48.0,39.6,12.0,93.0,57.4,12.0,10.0,5.5,3.0,29.6,29.5,29.4,0.0
